LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(frame),(frame),(frame),(pixel),(pixel),(pixel),(pixel),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(quality),(pixel),(pixel),,(pixel/frame),,(rad/frame)
Track_258,258,258,11,0,0,0,0,0,10.0,0.0,10.0,0.0,460.02165497823717,411.69334652637644,0.0,1.4131210262561091,5.849844027351729,0.3773724498859425,1.012728610596969,1.6074940275759935,452.45454545454544,14.131210262561092,5.849844027351729,0.0,0.0,0.0,1.5765116728948732
Track_259,259,259,11,0,0,0,0,0,10.0,0.0,10.0,0.0,502.1790734876567,533.0455655551009,0.0,2.0752817444844207,7.190673109194666,0.594696080637462,1.5103321346916387,1.9548325045141963,536.1818181818181,20.752817444844208,7.190673109194666,0.0,0.0,0.0,1.2926976622827704
Track_260,260,260,11,0,0,0,0,0,10.0,0.0,10.0,0.0,443.97200868578744,269.93992476558145,0.0,2.605417323022266,11.943681950237336,0.6179958687634816,1.642769596674667,3.3124240103562967,703.3636363636364,26.054173230222663,12.221843224941265,0.0,0.0,0.0,0.6036966951056199
Track_261,261,261,11,0,0,0,0,0,10.0,0.0,10.0,0.0,586.3027689888266,414.84748935504376,0.0,1.4452848191180823,4.864183340794931,0.510321557108788,1.085403230468059,1.2763509709763534,588.9090909090909,14.452848191180822,5.5756716620413656,0.0,0.0,0.0,1.7205149284681645
Track_262,262,262,11,0,0,0,0,0,10.0,0.0,10.0,0.0,670.1100149263981,275.21491014761665,0.0,2.621420097696557,10.595058635384698,0.8676711869330341,1.9318745647293654,2.8720678239241386,694.4545454545455,26.21420097696557,10.595058635384698,0.0,0.0,0.0,1.5110692155837286
Track_263,263,263,11,0,0,0,0,0,10.0,0.0,10.0,0.0,391.4154077260098,412.0316304926078,0.0,1.889120789821903,9.256476252079182,0.13855577943401684,1.1985893212136989,2.6167155402319864,508.1818181818182,18.89120789821903,9.256476252079182,0.0,0.0,0.0,0.8990756460749181
Track_264,264,264,11,0,0,0,0,0,10.0,0.0,10.0,0.0,140.98154993116597,531.4402306538991,0.0,3.3141328027295986,12.174262387199693,1.7437482088680276,2.353123789127851,3.168680555246377,1276.7272727272727,33.141328027295984,12.174262387199693,0.0,0.0,0.0,1.2170447785794465
Track_265,265,265,11,0,0,0,0,0,10.0,0.0,10.0,0.0,143.4381309505366,283.99376912966056,0.0,3.7470242158263063,12.310335116005238,0.02584999942558951,1.030313011054055,4.801940329746668,1440.6363636363637,37.47024215826306,10.76862374994036,0.0,0.0,0.0,1.2731739367948618
Track_266,266,266,11,0,0,0,0,0,10.0,0.0,10.0,31.06666429066409,290.60747921858894,414.35267051076823,0.0,3.513064194081106,14.781457612153492,0.832561066879121,2.3127633755851438,4.04109914130519,835.8181818181819,35.13064194081105,31.06666429066409,0.8843181500356854,3.1066664290664088,0.8843181500356851,0.6383102209439038
Track_267,267,267,11,0,0,0,0,0,10.0,0.0,10.0,0.0,419.60498452777904,531.9463395938077,0.0,2.435978090014986,10.2665994208229,1.0026666215181381,1.5264978710228498,2.7755030581486944,712.8181818181819,24.359780900149858,10.2665994208229,0.0,0.0,0.0,1.2188785326379779
Track_268,268,268,11,0,0,0,0,0,10.0,0.0,10.0,0.0,221.4714663414381,274.8833944322702,0.0,2.0119566158093893,6.565475722415648,0.25449124747221186,1.5140249941254802,1.7450736244411709,703.4545454545455,20.119566158093892,6.565475722415648,0.0,0.0,0.0,1.0938065680007854
Track_269,269,269,11,0,0,0,0,0,10.0,0.0,10.0,0.0,341.85184719630865,422.3810885215489,0.0,1.559880487811403,7.0809092396812545,0.4693967759778603,1.0313760277544828,1.9921451800092078,617.9090909090909,15.598804878114029,7.0809092396812545,0.0,0.0,0.0,0.7858989611338664
Track_270,270,270,11,0,0,0,0,0,10.0,0.0,10.0,0.0,556.996962697342,419.19174964622556,0.0,1.2282209047849866,3.2863077393479982,0.23074184392983293,1.283580803677561,0.9034150596282187,650.9090909090909,12.282209047849864,4.461972308280185,0.0,0.0,0.0,0.9316472408878081
Track_271,271,271,11,0,0,0,0,0,10.0,0.0,10.0,0.0,379.3910789765459,280.1058052900843,0.0,1.3501342736871904,5.943747187051539,0.13509448730936247,1.072634505101244,1.6726334402826324,1188.2727272727273,13.501342736871903,5.943747187051539,0.0,0.0,0.0,1.4131645108625075
Track_272,272,272,10,0,0,0,0,0,9.0,0.0,9.0,16.017022552288974,180.6980374063555,537.657681001798,0.0,3.997906082758518,9.998249356303276,0.9036767668838601,2.27766178094547,3.6542441454549737,1307.8,35.98115474482667,16.017022552288974,0.4451503201017162,1.7796691724765528,0.44515032010171623,0.9589034106682222
Track_273,273,273,11,0,0,0,0,0,10.0,0.0,10.0,0.0,628.4075802775714,419.31291684824396,0.0,2.1894814438554477,9.567437062309997,0.4322034862281319,1.62155910740684,2.6292622949328566,462.90909090909093,21.894814438554473,9.567437062309997,0.0,0.0,0.0,0.8410547383271125
Track_274,274,274,11,0,0,0,0,0,10.0,0.0,10.0,0.0,608.5743952419296,273.5147908345882,0.0,1.9846525930364374,8.350607280207933,0.39403956478666213,1.2899692209127853,2.3059035233862963,700.7272727272727,19.846525930364372,8.350607280207933,0.0,0.0,0.0,1.1307157812575848
Track_275,275,275,11,0,0,0,0,0,10.0,0.0,10.0,0.0,607.9617475792808,533.144995245043,0.0,2.2956442709246163,11.167577849533112,0.10546335597883993,1.4989430176695084,3.248867432868327,913.5454545454545,22.95644270924616,11.167577849533112,0.0,0.0,0.0,0.9176071316057354
Track_276,276,276,11,0,0,0,0,0,10.0,0.0,10.0,0.0,195.9359315749587,427.6203351731279,0.0,2.964052714751138,14.489093822018738,1.2799308046121711,1.9055190204414325,4.060945835607937,1184.5454545454545,29.640527147511378,14.489093822018738,0.0,0.0,0.0,0.8116327819126808
