LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID5250,5250,378,890.0,179.19521126760563,579.9180281690141,0.0,6.0,6,16.807737027574955,1,,185.67005649717515,183.0,156.0,264.0,164318.0,13.199721326465644,-0.002603191258606519,-0.0734252114226584,-0.10333273659710539,0.7681254867076629,23.5733945673532,13.771777333301447,1.5590942421771734,1.7117176669964396,887.5,131.53393419687907,0.6446182629412281,0.9196891191709844,4.415233022457772
ID4674,4674,378,837.0,177.5091324200913,580.7586857256304,0.0,4.0,4,16.34690030101402,1,,183.92967818831943,182.0,154.0,281.0,154317.0,13.404699911943174,0.002312947910950984,0.06332675324138103,-0.24252821024511015,-0.009683570620206293,22.528359729862192,12.611149947248766,1.687135888202258,1.7863842571134405,839.5,125.9155541056017,0.6653831558651259,0.9210093252879867,4.34579294697342
ID5122,5122,378,757.0,177.15023011176856,581.5602673679597,0.0,1.0,1,15.558748935655876,1,,178.72559366754618,177.0,152.0,235.0,135474.0,11.09160389627558,-0.005369448346562732,-0.17397637039422184,0.2828553432132219,0.06275034250339806,23.17244380997754,12.202247562000123,1.7162948341443423,1.8990307885688598,760.5000000000001,120.02518088549328,0.6633830093334135,0.9184782608695652,4.352339452167912
ID6564,6564,378,970.0,181.2409886714727,580.7931685547545,0.0,8.0,8,17.58063990543179,1,,186.50361197110422,184.0,159.0,265.0,180722.0,13.370601051462774,-0.005142872252387159,-0.14421529842768085,-0.09723690364867878,1.0784153660175981,23.992173207440054,14.12072681958055,1.3987866228370172,1.6990749494686939,971.0,135.33769159926857,0.6661799608601838,0.9169027384324837,4.343193209828198
ID5289,5289,378,788.0,178.97555836493888,579.409186683523,0.0,5.0,5,15.86767531717795,1,,184.6700379266751,183.0,158.0,294.0,146074.0,13.296657993497018,4.954281343818065E-4,0.013754648389587202,-0.16057542387475196,1.6968631042426072,22.790020901769225,12.54743222105356,1.5350100937549025,1.8163095444763147,790.9999999999998,124.59769005240044,0.6402747359520391,0.9091954022988503,4.430183845870274
ID6521,6521,378,1042.0,182.19110365756268,582.1800830538252,0.0,9.0,9,18.225157509135155,1,,186.94913627639156,184.0,158.0,256.0,194801.0,13.426439006041315,-0.006239171630059475,-0.1748387424315691,-0.7830320966392227,0.10790108707318258,24.43167661176281,15.843121600850802,1.2998869739027454,1.5420999236950115,1043.4999999999998,134.55298463621932,0.7242952650478989,0.9613081529249192,4.165307889875054
ID4683,4683,378,938.0,180.0726997686421,580.5681615945898,0.0,7.0,7,17.265491838089062,1,,185.08137044967881,184.0,160.0,256.0,172866.0,11.718556287525622,-0.008960465737683613,-0.2855999952222116,0.08426170517978308,0.11677785323306245,24.307112305451582,14.749262411234065,1.542926349141778,1.648022228348015,936.5,131.54542463186087,0.6800896277313065,0.9240256536753824,4.298548748952211
ID4907,4907,378,775.0,177.74628312863607,581.277849601379,0.0,3.0,3,15.69116620787512,1,,182.48834196891193,180.0,153.0,271.0,140881.0,12.960825694948532,0.002374416892707882,0.0667051631224187,-0.022042959500718835,0.4683198781917178,22.399174373066,12.490026217355126,1.6849082683425565,1.7933648803668583,773.5,118.96654164810056,0.6867845368909063,0.9444444444444443,4.27754589425434
ID5275,5275,378,738.0,177.74718848403057,582.0645524066576,0.0,2.0,2,15.357982473690644,1,,181.0283783783784,179.0,152.0,284.0,133961.0,13.175324665680206,0.002048145696895285,0.05616782275455972,-0.35798597492037915,2.029557235127127,22.8129234644656,12.244745993847003,-1.4832121902121627,1.8630785380055346,741.0000000000002,120.2144399926554,0.6443395607388545,0.881618084473528,4.4161878001925094
ID4688,4688,379,793.0,618.8060796645702,585.7475890985324,0.0,4.0,4,15.907745268142609,1,,148.5088383838384,147.0,116.0,198.0,117619.0,15.192150567026962,0.001246039000880988,0.0243306586457183,-0.42903158276336356,-0.2899917519852424,22.904120918313893,11.754249567231374,0.9005895330693854,1.9485821521236244,795.0,119.06170629096333,0.7047462737564032,0.9254947613504074,4.2226835642954095
